活动,时长,开始时间,结束时间,起,止,,
家务,1:46,2020/7/8 3:40,2020/7/8 5:27,,,,
电影,3:33,2020/7/8 0:07,2020/7/8 3:40,,,,
学习,3:33,2020/7/8 0:07,2020/7/8 3:40,0:07,3:40,,
娱乐,2:27,2020/7/7 21:39,2020/7/8 0:07,,,,
学习,2:16,2020/7/7 21:39,2020/7/7 23:55,21:39,23:55,,
家务,0:44,2020/7/7 20:55,2020/7/7 21:39,,,,
电影,2:26,2020/7/7 18:28,2020/7/7 20:55,,20:55,,
用餐,1:24,2020/7/7 18:28,2020/7/7 19:52,18:28,19:52,,
家务,1:42,2020/7/7 16:46,2020/7/7 18:28,,,,
工作,2:54,2020/7/7 13:51,2020/7/7 16:46,,,,
家务,1:54,2020/7/7 11:57,2020/7/7 13:51,,,,
睡眠,7:47,2020/7/7 4:09,2020/7/7 11:57,4:09,11:57,,
家务,1:55,2020/7/7 2:14,2020/7/7 4:09,,,,
写作,1:44,2020/7/7 0:29,2020/7/7 2:13,0:29,2:13,,
家务,2:13,2020/7/6 22:15,2020/7/7 0:29,,0:29,,
用餐,0:55,2020/7/6 20:03,2020/7/6 20:58,20:03,20:58,,
电影,2:12,2020/7/6 20:03,2020/7/6 22:15,,,,
家务,3:58,2020/7/6 16:04,2020/7/6 20:03,,,,
工作,1:33,2020/7/6 14:31,2020/7/6 16:04,,,,
家务,0:39,2020/7/6 13:51,2020/7/6 14:31,,,,
睡眠,9:05,2020/7/6 4:45,2020/7/6 13:51,4:45,13:51,,
家务,4:05,2020/7/6 0:40,2020/7/6 4:45,,,,
电影,2:19,2020/7/5 22:20,2020/7/6 0:40,,0:40,,
用餐,1:27,2020/7/5 22:20,2020/7/5 23:47,22:20,23:47,,
家务,2:56,2020/7/5 19:23,2020/7/5 22:20,,,,
娱乐,4:32,2020/7/5 14:51,2020/7/5 19:23,,,,
学习,2:13,2020/7/5 14:51,2020/7/5 17:05,14:51,17:05,,
家务,0:37,2020/7/5 14:13,2020/7/5 14:51,,,,
睡眠,7:54,2020/7/5 6:18,2020/7/5 14:13,6:18,14:13,,
家务,1:11,2020/7/5 5:06,2020/7/5 6:18,,,,
写作,5:27,2020/7/4 23:39,2020/7/5 5:06,23:39,5:06,,
家务,0:18,2020/7/4 23:20,2020/7/4 23:39,,,,
电影,0:58,2020/7/4 22:22,2020/7/4 23:20,,23:20,,
家务,0:10,2020/7/4 22:12,2020/7/4 22:22,,,,
电影,1:08,2020/7/4 21:03,2020/7/4 22:12,,,,
用餐,1:08,2020/7/4 21:03,2020/7/4 22:12,21:03,22:12,,
家务,1:21,2020/7/4 19:42,2020/7/4 21:03,,,,
娱乐,3:53,2020/7/4 15:48,2020/7/4 19:42,,,,
学习,3:53,2020/7/4 15:48,2020/7/4 19:42,15:48,19:42,,
家务,2:20,2020/7/4 13:28,2020/7/4 15:48,,,,
睡眠,7:33,2020/7/4 5:54,2020/7/4 13:28,5:54,13:28,,
家务,1:06,2020/7/4 4:48,2020/7/4 5:54,,,,
写作,2:46,2020/7/4 2:01,2020/7/4 4:48,2:01,4:48,,
家务,2:32,2020/7/3 23:29,2020/7/4 2:01,,,,
用餐,1:59,2020/7/3 21:30,2020/7/3 23:29,21:30,23:29,,
电影,1:59,2020/7/3 21:30,2020/7/3 23:29,,23:29,,
学习,1:25,2020/7/3 20:05,2020/7/3 21:30,20:05,21:30,,
家务,0:55,2020/7/3 19:09,2020/7/3 20:05,,,,
社交,1:07,2020/7/3 14:15,2020/7/3 15:22,,,,
学习,5:19,2020/7/3 13:49,2020/7/3 19:09,13:49,19:09,,
家务,1:43,2020/7/3 12:05,2020/7/3 13:49,,,,
睡眠,5:56,2020/7/3 6:08,2020/7/3 12:05,6:08,12:05,,
写作,0:40,2020/7/3 5:28,2020/7/3 6:08,5:28,6:08,,
睡眠,0:41,2020/7/3 4:46,2020/7/3 5:28,,,,
家务,0:58,2020/7/3 3:48,2020/7/3 4:46,,,,
娱乐,2:27,2020/7/3 1:20,2020/7/3 3:48,,,,
工作,1:01,2020/7/3 0:19,2020/7/3 1:20,,,,
家务,0:52,2020/7/2 23:26,2020/7/3 0:19,,,,
电影,2:00,2020/7/2 21:26,2020/7/2 23:26,,23:26,,
家务,0:31,2020/7/2 20:54,2020/7/2 21:26,,,,
电影,1:25,2020/7/2 19:28,2020/7/2 20:54,,,,
用餐,1:25,2020/7/2 19:28,2020/7/2 20:54,19:28,20:54,,
家务,2:06,2020/7/2 17:22,2020/7/2 19:28,,,,
睡眠,2:17,2020/7/2 15:04,2020/7/2 17:22,,,,
家务,0:47,2020/7/2 14:17,2020/7/2 15:04,,,,
学习,3:13,2020/7/2 11:03,2020/7/2 14:17,,,,
家务,1:00,2020/7/2 10:23,2020/7/2 11:23,,,,
睡眠,4:16,2020/7/2 6:06,2020/7/2 10:23,6:06,10:23,,
家务,1:55,2020/7/2 4:11,2020/7/2 6:06,,,,
阅读,5:28,2020/7/1 22:42,2020/7/2 4:11,,,,
家务,0:46,2020/7/1 21:56,2020/7/1 22:42,,,,
用餐,1:51,2020/7/1 20:05,2020/7/1 21:56,20:05,21:56,,
电影,1:51,2020/7/1 20:05,2020/7/1 21:56,,21:56,,
家务,1:17,2020/7/1 18:47,2020/7/1 20:05,,,,
学习,4:18,2020/7/1 14:29,2020/7/1 18:47,14:29,18:47,,
家务,1:05,2020/7/1 13:23,2020/7/1 14:29,,,,
睡眠,6:41,2020/7/1 6:41,2020/7/1 13:23,6:41,13:23,,
家务,0:45,2020/7/1 5:56,2020/7/1 6:41,,,,
写作,6:44,2020/6/30 23:12,2020/7/1 5:56,23:12,5:56,,
电影,0:58,2020/6/30 22:14,2020/6/30 23:12,,23:12,,
家务,0:10,2020/6/30 22:03,2020/6/30 22:14,,,,
电影,1:04,2020/6/30 20:59,2020/6/30 22:03,,,,
用餐,1:04,2020/6/30 20:59,2020/6/30 22:03,20:59,22:03,,
学习,1:28,2020/6/30 19:30,2020/6/30 20:59,19:30,20:59,,
家务,0:29,2020/6/30 19:00,2020/6/30 19:30,,,,
社交,1:55,2020/6/30 17:05,2020/6/30 19:00,,,,
学习,3:39,2020/6/30 15:21,2020/6/30 19:00,15:21,19:00,,
电影,2:56,2020/6/30 15:21,2020/6/30 18:18,,,,
家务,2:51,2020/6/30 12:30,2020/6/30 15:21,,,,
睡眠,6:35,2020/6/30 5:54,2020/6/30 12:30,5:54,12:30,,
家务,1:03,2020/6/30 4:51,2020/6/30 5:54,,,,
写作,3:38,2020/6/30 1:12,2020/6/30 4:51,1:12,4:51,,
电影,1:48,2020/6/29 23:23,2020/6/30 1:12,,1:12,,
家务,0:33,2020/6/29 22:50,2020/6/29 23:23,,,,
用餐,1:32,2020/6/29 21:01,2020/6/29 22:33,21:01,22:33,,
电影,1:49,2020/6/29 21:01,2020/6/29 22:50,,,,
家务,1:48,2020/6/29 19:12,2020/6/29 21:01,,,,
学习,4:37,2020/6/29 14:35,2020/6/29 19:12,14:35,19:12,,
电影,4:37,2020/6/29 14:35,2020/6/29 19:12,,,,
家务,2:09,2020/6/29 12:25,2020/6/29 14:35,,,,
睡眠,7:11,2020/6/29 5:13,2020/6/29 12:25,5:13,12:25,,
家务,0:59,2020/6/29 4:14,2020/6/29 5:13,,,,
写作,5:53,2020/6/28 22:20,2020/6/29 4:14,22:20,4:14,,
用餐,2:28,2020/6/28 19:37,2020/6/28 22:05,19:37,22:05,,
电影,2:43,2020/6/28 19:37,2020/6/28 22:20,,22:20,,
家务,1:33,2020/6/28 18:04,2020/6/28 19:37,,,,
社交,0:34,2020/6/28 16:01,2020/6/28 16:35,,,,
学习,2:02,2020/6/28 16:01,2020/6/28 18:04,16:01,18:04,,
家务,2:55,2020/6/28 13:06,2020/6/28 16:01,,,,
睡眠,8:18,2020/6/28 4:48,2020/6/28 13:06,4:48,13:06,,
家务,1:08,2020/6/28 3:39,2020/6/28 4:48,,,,
学习,1:39,2020/6/28 2:00,2020/6/28 3:39,2:00,3:39,,
电影,1:39,2020/6/28 2:00,2020/6/28 3:39,,,,
娱乐,0:28,2020/6/28 1:31,2020/6/28 1:59,,,,
家务,0:46,2020/6/28 0:45,2020/6/28 1:31,,,,
电影,3:35,2020/6/27 21:09,2020/6/28 0:45,,0:45,,
用餐,1:54,2020/6/27 21:09,2020/6/27 23:03,21:09,23:03,,
家务,1:25,2020/6/27 19:44,2020/6/27 21:09,,,,
电影,1:39,2020/6/27 18:04,2020/6/27 19:44,,,,
社交,1:41,2020/6/27 18:02,2020/6/27 19:44,,,,
学习,1:01,2020/6/27 17:30,2020/6/27 18:32,17:30,18:32,,
家务,4:06,2020/6/27 13:23,2020/6/27 17:30,,,,
睡眠,7:52,2020/6/27 5:31,2020/6/27 13:23,5:31,13:23,,
家务,2:15,2020/6/27 3:15,2020/6/27 5:31,,,,
娱乐,3:36,2020/6/26 23:38,2020/6/27 3:15,,,,
家务,1:38,2020/6/26 22:00,2020/6/26 23:38,,,,
用餐,1:37,2020/6/26 20:10,2020/6/26 21:48,20:10,21:48,,
电影,1:49,2020/6/26 20:10,2020/6/26 22:00,,22:00,,
学习,0:35,2020/6/26 19:35,2020/6/26 20:10,19:35,20:10,,
家务,1:14,2020/6/26 18:44,2020/6/26 19:58,,,,
学习,1:24,2020/6/26 17:19,2020/6/26 18:44,17:19,18:44,,
电影,1:24,2020/6/26 17:19,2020/6/26 18:44,,,,
家务,1:37,2020/6/26 15:42,2020/6/26 17:19,,,,
社交,1:36,2020/6/26 14:06,2020/6/26 15:42,,,,
家务,1:15,2020/6/26 13:19,2020/6/26 14:35,,,,
睡眠,8:25,2020/6/26 4:53,2020/6/26 13:19,4:53,13:19,,
家务,1:21,2020/6/26 3:31,2020/6/26 4:53,,,,
学习,1:46,2020/6/26 1:45,2020/6/26 3:31,1:45,3:31,,
学习,3:09,2020/6/25 21:53,2020/6/26 1:02,21:53,1:02,,
电影,5:38,2020/6/25 21:53,2020/6/26 3:31,,21:52,,
家务,0:51,2020/6/25 21:01,2020/6/25 21:52,,,,
用餐,1:35,2020/6/25 19:06,2020/6/25 20:42,19:06,20:42,,
电影,1:54,2020/6/25 19:06,2020/6/25 21:01,,,,
家务,1:34,2020/6/25 17:31,2020/6/25 19:06,,,,
电影,3:44,2020/6/25 13:47,2020/6/25 17:31,,,,
学习,3:44,2020/6/25 13:47,2020/6/25 17:31,13:47,17:31,,
休息,0:48,2020/6/25 12:58,2020/6/25 13:47,,,,
学习,1:58,2020/6/25 11:00,2020/6/25 12:58,,,,
家务,0:42,2020/6/25 10:18,2020/6/25 11:00,,,,
睡眠,6:49,2020/6/25 3:28,2020/6/25 10:18,3:28,10:18,,
家务,5:56,2020/6/24 21:31,2020/6/25 3:28,,,,
电影,1:53,2020/6/24 19:37,2020/6/24 21:31,,21:31,,
用餐,1:39,2020/6/24 19:37,2020/6/24 21:16,19:37,21:16,,
家务,3:05,2020/6/24 16:32,2020/6/24 19:37,,,,
学习,3:01,2020/6/24 13:30,2020/6/24 16:32,13:30,16:32,,
家务,1:04,2020/6/24 12:26,2020/6/24 13:30,,,,
睡眠,6:20,2020/6/24 6:06,2020/6/24 12:26,6:06,12:26,,
家务,0:50,2020/6/24 5:15,2020/6/24 6:06,,,,
学习,6:01,2020/6/23 23:14,2020/6/24 5:15,23:14,5:15,,
电影,6:01,2020/6/23 23:14,2020/6/24 5:15,,,,
家务,0:34,2020/6/23 22:40,2020/6/23 23:14,,,,
写作,3:03,2020/6/23 19:36,2020/6/23 22:39,19:36,22:39,,
用餐,1:42,2020/6/23 19:36,2020/6/23 21:18,19:36,21:18,,
家务,1:16,2020/6/23 18:19,2020/6/23 19:36,,,,
学习,1:17,2020/6/23 17:01,2020/6/23 18:19,17:01,18:19,,
电影,1:44,2020/6/23 16:35,2020/6/23 18:19,,,,
电影,1:07,2020/6/23 13:52,2020/6/23 15:00,,,,
学习,2:42,2020/6/23 13:52,2020/6/23 16:35,13:52,16:35,,
工作,0:37,2020/6/23 13:15,2020/6/23 13:52,,,,
家务,0:37,2020/6/23 12:37,2020/6/23 13:15,,,,
睡眠,7:46,2020/6/23 4:50,2020/6/23 12:37,4:50,12:37,,
家务,1:35,2020/6/23 3:15,2020/6/23 4:50,,,,
学习,5:50,2020/6/22 21:24,2020/6/23 3:14,21:24,3:14,,
电影,5:50,2020/6/22 21:24,2020/6/23 3:14,,,,
用餐,0:53,2020/6/22 20:02,2020/6/22 20:55,20:02,20:55,,
电影,1:21,2020/6/22 20:02,2020/6/22 21:24,,21:24,,
家务,1:49,2020/6/22 18:12,2020/6/22 20:02,,,,
电影,0:57,2020/6/22 17:15,2020/6/22 18:12,,,,
学习,2:07,2020/6/22 16:05,2020/6/22 18:12,16:05,18:12,,
娱乐,0:32,2020/6/22 15:33,2020/6/22 16:05,,,,
学习,2:45,2020/6/22 12:47,2020/6/22 15:33,12:47,15:33,,
电影,3:17,2020/6/22 12:47,2020/6/22 16:05,,,,
家务,1:41,2020/6/22 11:05,2020/6/22 12:47,,,,
睡眠,6:36,2020/6/22 4:29,2020/6/22 11:05,4:29,11:05,,
家务,1:21,2020/6/22 3:08,2020/6/22 4:29,,,,
学习,4:35,2020/6/21 22:32,2020/6/22 3:07,22:32,3:07,,
电影,6:36,2020/6/21 20:31,2020/6/22 3:08,,,,
用餐,1:22,2020/6/21 20:31,2020/6/21 21:53,20:31,21:53,,
家务,4:49,2020/6/21 15:41,2020/6/21 20:31,,,,
睡眠,10:20,2020/6/21 5:21,2020/6/21 15:41,5:21,15:41,,
家务,1:24,2020/6/21 3:56,2020/6/21 5:21,,,,
学习,2:20,2020/6/21 1:36,2020/6/21 3:56,1:36,3:56,,
电影,2:20,2020/6/21 1:36,2020/6/21 3:56,,,,
工作,0:36,2020/6/21 1:00,2020/6/21 1:36,,,,
写作,3:08,2020/6/20 21:51,2020/6/21 1:00,21:51,1:00,,
睡眠,,,,5:29,12:57,7:28,
学习,,,,23:58,3:37,3:38,
学习,,,,20:12,21:38,1:26,
学习,,,,15:01,17:49,2:47,7:51
用餐,,,,20:13,21:43,1:29,
电影,,,,,22:52,,
写作,,,,0:23,4:25,4:02,
