活动,时长,开始时间,结束时间,起,止,,
学习,0:49,2020/7/11 22:00,2020/7/11 22:50,,,,
用餐,0:51,2020/7/11 19:46,2020/7/11 20:38,19:46,20:38,,
电影,2:22,2020/7/11 17:07,2020/7/11 19:29,,,,
家务,3:06,2020/7/11 16:40,2020/7/11 19:46,,,,
娱乐,1:55,2020/7/11 14:45,2020/7/11 16:40,,,,
家务,1:31,2020/7/11 13:14,2020/7/11 14:45,,,,
睡眠,6:42,2020/7/11 6:31,2020/7/11 13:14,6:31,13:14,,
家务,0:58,2020/7/11 5:33,2020/7/11 6:31,,,,
写作,6:13,2020/7/10 23:19,2020/7/11 5:33,23:19,5:33,,
阅读,2:03,2020/7/10 21:16,2020/7/10 23:19,,,,
电影,0:30,2020/7/10 20:46,2020/7/10 21:16,,21:16,,
家务,0:12,2020/7/10 20:33,2020/7/10 20:46,,,,
电影,1:19,2020/7/10 19:14,2020/7/10 20:33,,,,
用餐,1:19,2020/7/10 19:14,2020/7/10 20:33,19:14,20:33,,
社交,0:29,2020/7/10 14:46,2020/7/10 15:15,,,,
家务,5:02,2020/7/10 14:11,2020/7/10 19:14,,,,
睡眠,8:24,2020/7/10 5:47,2020/7/10 14:11,5:47,14:11,,
家务,0:59,2020/7/10 4:47,2020/7/10 5:47,,,,
学习,4:42,2020/7/10 0:05,2020/7/10 4:47,0:05,4:47,,
电影,4:42,2020/7/10 0:05,2020/7/10 4:47,,,,
家务,0:58,2020/7/9 23:06,2020/7/10 0:05,,,,
电影,2:51,2020/7/9 20:14,2020/7/9 23:06,,23:06,,
用餐,1:43,2020/7/9 20:14,2020/7/9 21:58,20:14,21:58,,
家务,5:54,2020/7/9 14:19,2020/7/9 20:14,,,,
学习,0:34,2020/7/9 13:45,2020/7/9 14:19,13:45,14:19,,
家务,0:44,2020/7/9 13:00,2020/7/9 13:45,,,,
学习,2:12,2020/7/9 10:47,2020/7/9 13:00,,,,
家务,0:48,2020/7/9 9:59,2020/7/9 10:47,,,,
睡眠,4:54,2020/7/9 5:04,2020/7/9 9:59,5:04,9:59,,
家务,1:00,2020/7/9 4:03,2020/7/9 5:04,,,,
学习,2:53,2020/7/9 1:10,2020/7/9 4:03,1:10,4:03,,
电影,2:53,2020/7/9 1:10,2020/7/9 4:03,,,,
家务,0:38,2020/7/9 0:31,2020/7/9 1:10,,,,
电影,3:31,2020/7/8 21:00,2020/7/9 0:31,,0:31,,
用餐,1:19,2020/7/8 20:51,2020/7/8 22:10,20:51,22:10,,
写作,2:14,2020/7/8 18:36,2020/7/8 20:50,18:36,20:50,,
家务,0:40,2020/7/8 17:55,2020/7/8 18:36,,,,
写作,2:06,2020/7/8 15:48,2020/7/8 17:55,,,,
家务,1:24,2020/7/8 14:24,2020/7/8 15:48,,,,
写作,2:13,2020/7/8 12:10,2020/7/8 14:23,,,,
家务,1:44,2020/7/8 10:25,2020/7/8 12:10,,,,
睡眠,4:57,2020/7/8 5:27,2020/7/8 10:25,5:27,10:25,,
