活动,时长,开始时间,结束时间,起,止,,
用餐,0:44,2020/7/26 18:02,2020/7/26 18:46,18:02,18:46,,
家务,1:31,2020/7/26 16:30,2020/7/26 18:02,,,,
阅读,2:27,2020/7/26 14:03,2020/7/26 16:30,,,,
家务,0:22,2020/7/26 13:40,2020/7/26 14:03,,,,
电影,1:44,2020/7/26 11:56,2020/7/26 13:40,11:56,13:40,,
用餐,0:55,2020/7/26 11:56,2020/7/26 12:51,11:56,12:51,,
家务,2:27,2020/7/26 9:29,2020/7/26 11:56,,,,
睡眠,7:40,2020/7/26 1:49,2020/7/26 9:29,1:49,9:29,,
家务,0:46,2020/7/26 1:02,2020/7/26 1:49,,,,
写作,4:48,2020/7/25 20:14,2020/7/26 1:02,20:14,1:02,,
阅读,0:32,2020/7/25 19:41,2020/7/25 20:14,,,,
家务,0:20,2020/7/25 19:20,2020/7/25 19:41,,,,
电影,0:52,2020/7/25 18:28,2020/7/25 19:20,18:28,19:20,,
用餐,0:52,2020/7/25 18:28,2020/7/25 19:20,18:28,19:20,,
家务,0:25,2020/7/25 18:02,2020/7/25 18:28,,,,
阅读,0:00,2020/7/25 18:01,2020/7/25 18:02,,,,
家务,1:14,2020/7/25 16:47,2020/7/25 18:01,,,,
阅读,0:30,2020/7/25 16:17,2020/7/25 16:47,,,,
家务,0:52,2020/7/25 15:25,2020/7/25 16:17,,,,
阅读,1:59,2020/7/25 13:25,2020/7/25 15:25,,,,
电影,0:59,2020/7/25 12:26,2020/7/25 13:25,12:26,13:25,,
用餐,0:59,2020/7/25 12:26,2020/7/25 13:25,12:26,13:25,,
家务,2:20,2020/7/25 10:05,2020/7/25 12:26,,,,
睡眠,7:42,2020/7/25 2:23,2020/7/25 10:05,2:23,10:05,,
家务,0:43,2020/7/25 1:40,2020/7/25 2:23,,,,
写作,3:12,2020/7/24 22:28,2020/7/25 1:40,22:28,1:40,,
电影,0:58,2020/7/24 21:30,2020/7/24 22:28,,22:28,,
家务,0:07,2020/7/24 21:22,2020/7/24 21:30,,,,
电影,1:03,2020/7/24 20:18,2020/7/24 21:22,,,,
家务,0:22,2020/7/24 19:56,2020/7/24 20:18,,,,
电影,0:41,2020/7/24 19:14,2020/7/24 19:56,,,,
家务,0:15,2020/7/24 18:58,2020/7/24 19:14,,,,
电影,1:11,2020/7/24 17:47,2020/7/24 18:58,17:47,,,
用餐,1:11,2020/7/24 17:47,2020/7/24 18:58,17:47,18:58,,
家务,2:27,2020/7/24 15:19,2020/7/24 17:47,,,,
社交,1:13,2020/7/24 14:05,2020/7/24 15:19,,,,
家务,0:43,2020/7/24 13:21,2020/7/24 14:05,,,,
睡眠,0:43,2020/7/24 12:38,2020/7/24 13:21,12:38,13:21,,
家务,0:09,2020/7/24 12:29,2020/7/24 12:38,,,,
电影,0:58,2020/7/24 11:30,2020/7/24 12:28,,12:28,,
用餐,0:58,2020/7/24 11:30,2020/7/24 12:28,11:30,12:28,,
家务,0:04,2020/7/24 11:25,2020/7/24 11:30,,,,
电影,0:55,2020/7/24 10:30,2020/7/24 11:25,10:30,,,
家务,2:01,2020/7/24 8:28,2020/7/24 10:30,,,,
睡眠,7:43,2020/7/24 0:44,2020/7/24 8:28,0:44,8:28,,
家务,1:01,2020/7/23 23:42,2020/7/24 0:44,,,,
写作,2:41,2020/7/23 21:00,2020/7/23 23:42,21:00,23:42,,
家务,1:30,2020/7/23 20:06,2020/7/23 21:36,,,,
用餐,2:00,2020/7/23 18:05,2020/7/23 20:06,18:05,20:06,,
电影,2:27,2020/7/23 17:38,2020/7/23 20:06,17:38,20:06,,
家务,1:04,2020/7/23 16:34,2020/7/23 17:38,,,,
电影,0:23,2020/7/23 16:10,2020/7/23 16:34,,,,
家务,1:28,2020/7/23 14:42,2020/7/23 16:10,,,,
学习,0:49,2020/7/23 13:52,2020/7/23 14:42,13:52,,,
家务,0:14,2020/7/23 13:38,2020/7/23 13:52,,,,
学习,3:11,2020/7/23 10:27,2020/7/23 13:38,10:27,13:38,,
家务,1:48,2020/7/23 8:39,2020/7/23 10:27,,,,
睡眠,7:34,2020/7/23 1:04,2020/7/23 8:39,1:04,8:39,,
家务,1:17,2020/7/22 23:46,2020/7/23 1:04,,,,
学习,2:56,2020/7/22 20:49,2020/7/22 23:46,20:49,23:46,,
写作,1:28,2020/7/22 19:20,2020/7/22 20:49,19:20,20:49,,
电影,1:23,2020/7/22 17:57,2020/7/22 19:20,17:57,19:20,,
用餐,1:23,2020/7/22 17:57,2020/7/22 19:20,17:57,19:20,,
家务,1:14,2020/7/22 16:42,2020/7/22 17:57,,,,
学习,2:02,2020/7/22 14:39,2020/7/22 16:42,14:39,16:42,,
家务,0:10,2020/7/22 14:28,2020/7/22 14:39,,,,
社交,0:59,2020/7/22 13:29,2020/7/22 14:28,,,,
家务,0:26,2020/7/22 13:02,2020/7/22 13:28,,,,
睡眠,0:45,2020/7/22 12:17,2020/7/22 13:02,12:17,13:02,,
家务,0:14,2020/7/22 12:02,2020/7/22 12:17,,,,
用餐,0:10,2020/7/22 11:32,2020/7/22 11:43,11:32,11:43,,
